# fen|stockfish 15.1 nnue value|adjusted value, side to move; net nn-ad9b42354671, generated by tools/nnue_reference.py
r3qb1r/2pk2pp/b1np1p1n/pB1Pp3/PpP1P1P1/7P/1PK2P2/RNB3NR w - - 1 16|-997|-901
r3qb1r/2pk2pp/2np1p2/pB1np3/PpP1P1P1/6BP/1PK2P2/RN4NR b - - 1 19|1679|1623
rnbqkbnr/pppp1p1p/8/4p1p1/5P2/1P6/P1PPP1PP/RNBQKBNR w KQkq - 0 3|60|60
rnbqkbnr/p2p1p2/7p/1pp1p1p1/2PB1P2/1P6/P2PPKPP/RN1Q1BNR b kq - 1 6|635|653
1nbqkbnr/r2p1p2/7p/ppp3p1/2PB1pP1/1PN4P/P2PPK2/R2Q1BNR w k - 0 10|-50|-50
3qkbnr/rb1p1p2/1Bn5/ppP3pp/P4pP1/1PN4P/3PPK2/R2Q1BNR b k - 0 13|-15|-14
r2qkbn1/1b5r/1Bnp1p2/ppP3pp/P4pP1/RP5P/N2PP1K1/3Q1BNR w - - 0 17|-294|-298
r2qkbn1/1b5r/1B1P4/pp3ppp/P4pP1/RP3N1P/n2PP1K1/2Q2B1R w - - 0 20|-379|-374
r1Bq2n1/4k1br/8/pp3ppp/P2B1pP1/RP3N1P/n2PP1K1/2Q2B1R b - - 0 23|-835|-799
1bqrknrn/p1pppppp/8/1p6/8/3P1b2/PPPQPPPP/BB1RKNRN w KQkq - 2 3|126|128
1bqrknrn/2ppp2p/p7/1p3pp1/P7/3PNb2/1PPQPPPP/BBKR2RN b kq - 1 6|208|215
2qrknrn/b1ppp3/p6p/1p3pp1/P5N1/1P1P1b2/2PQPPPP/BBK1R1RN w kq - 1 10|185|188
1bqrknrn/2ppp3/p6N/1p3pp1/PP4P1/3P4/2PQbP1P/BBK1R1RN b kq - 0 12|-964|-984
2qrk2n/b1ppp2n/p3r2N/1P3pp1/1P1P2P1/8/2PQbP1P/BBK1RR1N w q - 1 16|640|645
1q1rk2n/b1ppp2n/pP2r2N/5pp1/1P1P2P1/8/2PQbP1P/BBKR1R1N b - - 0 19|-251|-246
2qrk2n/2ppp2n/p3r2N/6p1/1P1b1Pp1/8/B1PQb2P/B1K1RR1N w - - 0 23|486|510
2qrk1Nn/2ppp2n/p3r3/3B2p1/1P1b1P2/2Q5/2P1b2p/B1K1RR1N b - - 1 25|13|-18
q1r1k1N1/2pppn1n/p7/6P1/1P1br3/2Q3N1/B1P1b2p/B1K1RR2 w - - 3 29|431|459
1qr1k1N1/2pppn1n/p3BR2/1b4P1/1P1bN3/2Q5/2P4p/B1K1R3 w - - 5 32|1701|1705
1qr2kN1/1N1ppn1n/p1p1BR2/1bQ1R1P1/1P6/8/2P4p/b1K5 b - - 1 35|220|225
4rkN1/1N1ppn1n/p1p1BR2/1bQ1q1P1/1P6/8/2P5/bK2R2r w - - 2 39|-438|-412
4r1k1/1N1ppR1n/p1p1B3/1b1q2P1/1PQ5/8/2P5/bK2R2r w - - 2 42|-172|-150
rnbqkb1r/ppp3pp/4pn2/3p4/3P1p2/1P3NP1/P1P1PP1P/RNBQKB1R b KQkq - 0 2|-73|-74
rnbqk2r/p1p3pp/3bpn2/1p1pN3/3P1p2/1P4P1/P1P1PP1P/RNBQKB1R b KQkq - 3 5|73|73
rn1qkb1r/p1pb3p/4pnp1/1p1p4/3P1pN1/NP4P1/P1P1PPBP/R1BQK2R b KQkq - 5 8|133|137
rn2kb1r/p1pbq3/5np1/1p1pp2p/1P1P2N1/N2Q2p1/P1P1PPBP/1RB1K2R w Kkq - 0 12|-85|-78
rn1k1b1r/2pb4/p4np1/1p1pP2p/1q4N1/N1Q1K1p1/P1P1PPBP/1RB4R b - - 1 15|872|870
1n1k1b1r/r1pb4/p4np1/1p1pP3/1Q4N1/N3K1p1/P1P1P1BP/1RB4R w - - 0 18|1214|1152
rn1kbb1r/2p5/p5p1/1p1pP2n/1Q4NP/N3K1p1/PRP1P1BR/2B5 w - - 5 21|1244|1179
rn1kb2r/2p3b1/p3P1pB/1p1p3n/6NP/N2K2p1/PRP1P1BR/8 b - - 4 24|1165|1181
rn1k3r/2p2b2/p3PnpB/1p1p4/4P2P/N1K5/PRP2NBp/8 w - - 2 28|-385|-364
rn2k2r/2p2b1n/p3P1p1/1p1K4/4P2P/N7/PRPB1NBp/8 b - - 0 30|991|1007
rn1r4/2p1kb1n/p3P1p1/BpK5/4P2P/N2N4/PRP3B1/7q b - - 3 33|2390|2339
r7/2p1kb1n/p1n1P1p1/BpKP4/7P/N6q/PRP5/2N4B b - - 2 36|945|903
r4nb1/2P5/p1n1k1p1/BpK5/7P/N6q/PRP3B1/2N5 b - - 0 39|1608|1595
r4nb1/2P2k2/p1B3p1/BpK5/1n5P/N1R5/P1P5/2N5 b - - 0 42|-1301|-1265
1r4b1/2P5/pnBK1kp1/BpR5/1n5P/N7/P1P5/2N5 w - - 7 46|1503|1472
r1bq1b1r/pppp1ppp/2nk4/4p3/BP2n3/5N2/P1PP1PPP/RNBQ1RK1 w - - 3 3|839|862
rnb2br1/pppp1ppp/3k4/4p1q1/BP2n3/7P/P1PP1PP1/RNBQR1K1 w - - 0 6|221|265
rnb2br1/pppp1ppp/3k4/4p1n1/1P6/NBP2q1P/P2PQPP1/R1B1R1K1 b - - 6 9|-507|-548
rnb2br1/pppp1ppp/3k4/4p1n1/1P4P1/NBP4P/P2P1P2/R1B1RQ1K b - - 0 12|-2304|-2279
rnb2br1/ppppk1pp/Q3n3/5p2/1PN1p1P1/1BP4P/P2PRP2/R1B4K w - - 0 16|2238|2203
rnbn1br1/p2pk1pp/p1pN4/1P3pP1/4p3/1BP4P/P2P1P2/R1B1R2K b - - 0 19|317|298
rnbn1br1/p1kp1B1p/p5p1/1Pp2pP1/4p3/2P4P/P2P1P2/R1BR3K w - - 2 23|-2023|-1999
rnbn2r1/p2p1B1p/pPk3pb/2p2pP1/4p2P/P1P5/3P1P2/R1BR3K b - - 0 25|1910|1885
rnbn1br1/pP1p1B2/p1k3p1/5pPp/2p1p2P/P1P5/3P1P2/R1BR3K b - - 0 28|1754|1724
rn1n1br1/pP1b1B2/p1kp2p1/5pPp/2pPp2P/P1P5/1B3P2/R5RK w - - 1 32|-1640|-1605
rn1n3r/pP1b1Bb1/p1kp2p1/5pPp/2pPp2P/P1P5/1B3PRK/5R2 b - - 6 34|2068|2046
rn6/pn1b4/p1kpB1p1/5pPp/2pbp2P/P1P4R/1B3P1K/5R2 w - - 0 38|-749|-729
rn5b/pn1b4/p1kp2p1/3B1pPp/2p3RP/P1P1p1R1/1B3P1K/8 b - - 5 41|492|469
rn5b/pnkb4/p2pB1p1/5pPp/2p3RP/P1P1p1R1/1B3P1K/8 b - - 11 44|1677|1686
r6b/pnk5/p2pb1p1/5pPp/2p3RP/P1P1Pn1R/1B4K1/8 w - - 1 48|-1643|-1608
6rb/pnk5/p2p2p1/6Pp/2p1p2P/P1P1Pn1R/1B4K1/8 w - - 1 51|-2911|-2889
6rb/pn6/p2p2p1/1k4Pp/P1p1p1Rn/2P1P3/1B5K/8 b - - 0 54|1959|1907
1nbqkbnr/rppppppp/p7/8/2PP4/8/PP2PPPP/RNBQKBNR w KQk - 1 3|268|273
1nbqkbnr/r1pp1pp1/pp2p2p/8/2PP4/1Q3N2/PP1NPPPP/1RB1KB1R b Kk - 1 6|17|29
rnbqk1nr/2ppb3/ppQ1pp1p/4N1p1/2PP4/8/PP1NPPPP/1RB1KB1R w Kk - 2 10|459|462
rnbq1knr/Q2p4/p1p1pp1p/4N1p1/2PP4/b7/PP1NPPPP/R1B1KB1R w K - 2 13|579|572
rnb1qknr/3Q4/p3pp1p/4N1p1/2Pp2P1/b7/PP2PP1P/RNB1KB1R b K - 1 16|209|226
rnb1qkn1/3Q3r/p3pp1p/4N1p1/2Pp2P1/8/PPKbPP1P/R1B2B1R b - - 3 19|894|901
rnb1q1n1/4k2r/p3pp1p/4N1p1/2Pp2P1/8/PPK1Pb1P/R1B2B1R w - - 0 22|-2051|-1966
rnb3nr/4k3/p3pp1p/4N1B1/q1Pp2P1/7P/PPK1PbB1/R6R w - - 3 25|-1119|-1020
r1b3nr/4k3/p1n1pp1p/6B1/q1Pp2PP/1P6/P1K1PbB1/R6R w - - 1 28|-2326|-2217
r1b3n1/4k1r1/p1n1pp1p/6BP/2Pp2P1/1P6/q1K1Pb2/R4R1B w - - 0 31|-2135|-2017
r1b3n1/4k1r1/p1n1pp1p/7P/2PpP1P1/1P6/K4b2/R1q2R1B b - - 2 34|3692|3571
r1b1k1n1/6r1/p1n1pp1p/7P/2qpP1P1/1P6/K4b2/3RR2B b - - 3 36|4054|3936
r1b1k1n1/8/p1n1pprp/6PP/q3P3/1P1p4/1K3b2/3RR2B w - - 1 39|-2930|-2782
r1b3n1/3k4/p3pprp/4P1PP/q2n4/1P1p2b1/1K4R1/3R3B w - - 3 42|-3085|-2941
rnbqk2r/ppp2pp1/4pn2/2bp3p/3PPB1P/2N5/PPP2PP1/R2QKBNR w KQkq - 2 3|528|540
rnbqk2r/2p2p2/p3pn2/1pbp2pp/3PPB1P/2N2PK1/PPP3PR/R2Q1BN1 b kq - 1 6|799|818
rnb4r/4kp2/p1p1pn2/qpbpP1pp/3P1B1P/5PK1/PPP1N1PR/1R1Q1BN1 b - - 2 9|-260|-265
r1b3nr/3nkp2/p1p1p3/qp1pP2p/1bQP1B1p/1P3PK1/P1P1N1PR/1R3BN1 w - - 0 13|-304|-304
r1b1k1n1/3n1p2/p1p1p2r/qpQpP2p/1P1P1B1p/2b2P2/P1P1NKPR/1R3BN1 w - - 3 16|785|811
r1b1k1n1/3n1pR1/p1p1p2r/1pQpP2p/1P1P1B1p/2b2P2/q1P1NKP1/2R2BN1 b - - 1 19|-583|-603
1rb1k1n1/3n1pR1/p1p1p1r1/1pQpP2p/1P1P1B1p/q4P1N/1bP2KP1/1NR2B2 w - - 8 23|160|178
2b1k3/1r1n1pR1/2p1p1rn/pp1pP1Np/1P1P3p/q1Q2P2/1bPB2P1/1NR1KB2 b - - 1 26|710|712
2b1k1n1/1r1n1pR1/4p1r1/1BppP1Np/1p1P3p/q1Q2P2/1bPB2P1/1NRK4 w - - 2 29|-152|-144
1nb1k1n1/1r3pR1/4N1r1/2ppP2p/qp1P1B1p/2QB1P2/1bPK2P1/1NR5 b - - 0 32|760|776
1nb1k1n1/1r3pR1/4N3/2ppP2p/1p3B1p/N2B1Pr1/2Q1K1P1/2R3b1 w - - 4 36|1665|1611
1nb1k1n1/6R1/8/1rppPp1p/3N1B1p/p4Pr1/4K1P1/2RQ2b1 w - - 0 39|788|788
1nb1k3/5R2/5n2/2ppPp1p/3N3p/1r3Pr1/p2BK1P1/R2Q2b1 b - - 3 42|322|336
1nb1k3/1R6/r4n2/2ppPp1p/3N3p/5P1r/p1QBK1P1/R5b1 w - - 10 46|813|820
1nb1k3/3R4/3r1n2/2ppPp1p/3N1P1p/2Q5/p2BK1Pr/R5b1 w - - 5 49|358|354
1nb1k3/3R4/2r2n2/2ppPp1p/3N1P1p/4Q3/3BK1Pr/n2R2b1 b - - 3 52|191|204
2b1k3/3R4/1rn2n2/2ppPp1p/3N1PQp/1n6/3BK1Pr/1R4b1 b - - 9 55|843|847
2b1k3/n5R1/1r3P2/2pp1pQp/3N1P2/1n5p/3BK1Pr/1R4b1 w - - 2 59|1329|1336
2b1k3/n5R1/2r2P2/2pp1pQp/1B1b1P2/1n6/4K1pr/1R6 w - - 0 62|711|747
2b1k3/nR6/1r3P2/2pp1pQp/5P2/1nB4r/1R2K1p1/8 b - - 0 65|-630|-628
2b1k3/nR6/5r2/3p1Q1p/2p2P1r/1nB5/4K1p1/1R6 w - - 1 68|581|576
2b1k3/n7/8/1R1p1Q1p/2p1rP1r/4B3/4K1p1/1R6 w - - 3 71|1177|1152
r1bqkbnr/pppppppp/2n5/8/8/P7/1PPPPPPP/RNBQKBNR w KQkq - 1 2|69|74
1rbqkb1r/ppp1pppp/2n4n/3p4/3P1PP1/P7/1PP1P2P/RNBQKBNR w KQk - 0 5|-23|-18
1rb1kb1r/ppp2ppp/5q1n/3pP3/1n1PP1P1/P1N5/1PP4P/R1BQKBNR w KQk - 1 8|873|889
1rbqk2r/ppp2p1p/6pn/2bpP3/1n1PP1P1/P4B2/1PPQ3P/RNB1K1NR b KQk - 3 11|-462|-469
1rbqkbnr/pp3p1p/2p3p1/3pP3/1n1PP1P1/P4B1P/1PPQ4/RNB1K1NR b KQk - 0 14|-523|-527
1rbqk1nr/pp2b2p/2p2p2/3pP1p1/1n1PP1P1/P4B1P/1PPQ4/RNB1K1NR w KQk - 0 17|839|850
1rb1k1nr/pp2b3/2p2p2/2qpP1QP/1n1PP3/PP5P/2P5/RNBBK1NR b KQk - 0 20|-506|-496
1r2Qkn1/pp2b2r/2p1bp2/2qpP2P/1n1PP3/PP5P/2P2K2/RNBB2NR b - - 6 23|-708|-708
1r4n1/pp2b2r/2Q1b2k/2qpPP1P/1n1P4/PP2K2P/2P5/RNBB2NR b - - 0 26|-260|-226
1n1bnrk1/p1p1ppp1/b2p3r/1p3P1p/3Pq1PP/8/PPPNP3/Q1BBNRKR w KQq - 3 11|523|543
1n1bnrkr/p3ppp1/b1pp4/1p2qP1p/3P2PP/5N2/PPP1P2R/Q1BBNRK1 b Qq - 5 14|-272|-282
1n2nrkr/p1b2pp1/b1ppp3/1p3P1p/3P1qPP/5N2/PPP1P1R1/Q1BBNRK1 b Qq - 5 17|-448|-459
1n2nrkr/p1b3p1/b1pp1p1q/1p3p1P/3P3P/P3BN2/1PP1P1R1/Q2BNRK1 b Qq - 1 20|-330|-333
4nr2/p1bn2pr/b1ppkp1q/1p3p1P/3P3P/PP2BN2/2P1P1R1/Q2BNRK1 w Q - 3 24|532|541
4n3/p1bn1rpr/b1ppkp1q/1p3p1P/1P1P3P/P3BN2/2P1P3/Q2BNRRK w - - 1 27|867|885
4n3/p4rpr/b1p1kp1B/1pPpbp1P/3P3P/P7/2PNP1K1/Q2BNRR1 b - - 3 30|-2349|-2262
4n2r/p4rp1/b1p1kp1B/1pPpbp1P/P1PP3P/8/2BNP1K1/Q3NRR1 b - - 0 33|-2607|-2523
4n2r/p2k1rp1/b1p2pRB/1pP2p1P/P1pP1b1P/4PK2/2BN4/Q3NR2 w - - 3 37|2584|2500
4n2r/pb3rB1/2pbkpR1/1pP2p1P/P1pPB2P/4PK2/3N4/Q3NR2 w - - 3 40|3051|2971
4n1rr/p7/b1pbkp2/1pP2pRP/P1pP3P/1N2PK2/2B5/Q3N1R1 b - - 3 43|-857|-768
4n3/p2k3r/b1pP1p1P/1p3p2/P1pP2rP/1N2PK2/2B5/3QN1R1 w - - 1 47|1573|1517
8/pbnk3r/2pP1prP/1p3P2/P1pP3P/1N3K2/2B5/3QN1R1 b - - 0 50|-1157|-1083
n7/pb1kr3/2pPQprP/1p3P2/P2P3P/1N1p1K2/2B5/6R1 b - - 3 53|-361|-299
n4k2/pb6/2pPrp1P/1p3Pr1/P2P3P/1N1p2R1/2B2K2/8 w - - 6 57|626|679
r1n1k2r/pbppqpb1/4pnp1/1N1PN3/1p2P3/5Q1p/PPPBBPPP/3RK2R w Kkq - 4 3|-152|-156
r1n1k2r/pb1pqpb1/3Pp1p1/1Np1N3/1p2PQn1/2B5/PPP1BPpP/3RK2R w Kkq - 2 6|-382|-385
r1n1kq1r/pb1p1pb1/3Ppnp1/2p1N3/1B2PQ2/N6P/PPP1BP2/3RKRr1 b kq - 0 9|840|818
r1n1k1n1/pb1p1pbr/q3p1p1/2p1NQ2/1B2P3/N2B3P/PPP2P2/R3KRr1 w q - 6 13|-1205|-1177
r3k1n1/pb1p1pBr/qn4p1/2p1Ppr1/8/N2B1N1P/PPP2P2/R3KR2 b q - 0 16|2330|2255
r1q1k3/p2p1pBr/1n4p1/1NpnPpr1/4b3/3B1N1P/PPPK1P2/2R2R2 w q - 7 20|-926|-823
r1qk1B2/3p1p1r/1n2P1p1/p1pn1pr1/8/3b1N1P/PPPK1P2/1NR2R2 b - - 0 23|2818|2713
r1q2B1r/2k2p2/1n1pP1p1/p1pn1pr1/8/P1Nb1N1P/1PP2P2/2RK1R2 b - - 1 26|3496|3411
r1k1q2r/4Bp2/1n1pP1p1/1Npn1pr1/p6N/P2b3P/1PP2P2/2RK1R2 b - - 1 29|3325|3234
r1kBq2r/3P1p2/3p2p1/1N1n1pr1/p1p4N/P2b3P/1PP2P2/2RK1R2 b - - 0 31|1112|1003
2rk3r/3PRp2/3p2p1/1N1n1p2/p1p4N/P1Pb3P/1P3P2/2RK2r1 w - - 3 35|-519|-459
bqnb1rkr/1p3pp1/p2ppn1p/2p2P2/8/P2P3P/NPP1P1P1/BQ1BNRKR w KQkq - 0 11|-331|-332
bqn2rkr/4bpp1/p2pp2p/1pp2P2/6n1/P2P3P/NPP1P2N/BQ1BR1KR b Kkq - 1 14|1336|1348
b4rkr/4bpp1/pn1ppn1p/1ppq1PN1/8/P1PP3P/NP2P3/BQ1BR1KR w Kkq - 5 18|-1519|-1532
b3nrkr/4bpp1/pn1pp2p/1pp2PNB/4q3/PPPP3P/N7/B1Q1R1KR b Kkq - 1 21|1139|1140
b4rkr/4bpp1/pn1p1nRp/1pp2PN1/8/PPPP3q/N3B3/B1Q3KR b Kkq - 3 24|1241|1245
b1r3kr/4bpp1/pn1p2Rp/1pp2PNn/7R/PPPP4/N3B3/B2Q2K1 b k - 2 27|-250|-165
b1r3kr/4bpp1/pn1p1PR1/1pp3pn/7R/PPPP4/N3BK2/B4Q2 b k - 1 30|-108|-58
b1r3kr/4bpp1/1n1p1PR1/pppQ2pn/2R5/PPPP4/N3BK2/B7 b k - 3 33|297|359
1r4kr/1b1nbpp1/3p1PR1/pppQ2pn/2R5/PPPP4/N3B1K1/B7 b k - 9 36|698|767
r3k2r/Pppp1ppp/1b3nbN/nPP5/B3P3/B4N2/P2P2PP/3q1RK1 w kq - 0 3|-260|-127
r3k1r1/Pppp1p1p/1b3nbp/nPP5/q3P3/B2P1NK1/P5PP/R7 b q - 0 6|4752|4648
2kr2r1/Pppp1p1p/2n2n1p/1Pb2b2/q3PK2/B2P2P1/P6P/R3N3 w - - 3 10|-2679|-2514
q1kr1r2/1pppbp1p/2n2n1p/1P3b2/4PKP1/B2P4/P6P/R3N3 b - - 0 13|4183|4042
1nkr1rn1/1ppp1p1p/1P1b3p/4PK2/6P1/q2P4/P6P/R3N3 w - - 1 17|-3687|-3537
r3k3/p1ppqpb1/b3pnpr/3P4/1pn1P1P1/2NN1Q1p/PPPBBP1P/R3K2R w KQq - 1 3|347|361
r2qk3/p1pp1pb1/b3pnp1/3P3r/1N2P1P1/nPN4p/P1PBBPQP/3RK2R b Kq - 0 6|-297|-300
rq2k3/p1pp1p2/4p1p1/3P2Br/NNb1P1n1/nP3Q1p/P1P1BP1P/b2RK2R w Kq - 2 10|572|587
rq2k3/2pp1p2/p3p1p1/1n1P2Br/NN2P1n1/1P1Q3p/P1P1KP1P/b2R3R b q - 0 13|-70|-78
3rk3/q2p1p2/p1p1pnp1/1n1P2Br/1N2P3/1P1Q3p/PNP1KP1P/R6R w - - 0 17|966|963
2r1k3/1qnp1p2/p1p1pnp1/3P2Br/1N2P3/PP1Q3p/1NPK1P1P/5RR1 b - - 4 20|-764|-752
q1r1k3/2np1p2/2p1pnpr/3P2B1/pNN1P3/PP5p/1QPK1P1P/5RR1 w - - 0 24|1664|1668
q1r1k3/2np1p2/2p1pBpr/3P4/1N2P3/Pp2N2p/1QPK1P1P/R4R2 b - - 3 27|-1418|-1393
2r1k3/1qnp1p2/5Bpr/3pp3/1N2P3/PQP1N2p/3K1P1P/R4R2 w - - 0 30|1998|1988
r3k3/1q1p1p2/4nBp1/3pp2r/1Q2P3/P1P1N2p/N2K1P1P/R3R3 b - - 7 33|-1063|-1038
r1q1k3/3p1p2/5B2/1n1Pp1pr/8/P1P1N2p/N4P1P/R2KR3 w - - 2 37|-906|-878
2q1k3/5p2/3p1B2/1n1PpN1r/6p1/r1P4p/NR2RP1P/3K4 b - - 1 40|1591|1574
4k3/3q1p2/3p1B2/3P1N1r/4pPp1/r1n4p/NR1R3P/4K3 b - - 1 43|1081|1041
1R1qk3/r4p2/3p1B2/3P1N1r/4pP2/2n4p/N5pP/3RK3 w - - 2 47|-84|-27
3qk3/r4p2/3p1B1N/1R1n3r/1N2pP2/7p/3K1b1P/3R4 b - - 1 50|1909|1857
8/1r1k1p2/N2p1B2/q2n3r/1R2pPN1/6bp/3K3P/3R4 w - - 8 54|-1202|-1131
8/1r1k1p2/N2p1B2/q5r1/1R2pP2/6bp/4K1nP/4R3 b - - 3 57|2840|2778
rnbqkb1r/pp3p1p/3Bpn2/2pp2p1/3P4/3QPN2/PPP2PPP/RN2KB1R b KQkq - 1 2|337|350
r1b1qb1r/p2k1p1Q/np1Bpn2/2pp2p1/3P4/1P2PNP1/P1P2P1P/RN2KB1R w KQ - 1 6|232|220
1rb1qb1r/p2k1p1Q/np1Bp3/3p2p1/P1pP2n1/1PPBPNPP/5P2/RN2K2R b KQ - 0 9|-53|-34
1rb1qbr1/p1nk1p2/1p1Bp3/3p2p1/P1pPQ1n1/1PPBP1PP/5P2/RN2KN1R w KQ - 7 13|-68|-83
r1b1q1r1/p1nk1pb1/3Bp3/1p1p2Q1/P1BP1Pn1/1PP1P1PP/8/RN2KN1R b KQ - 0 16|-124|-98
r1b1q3/p1Bk1p2/n3p3/1p1p2r1/PPBb1Pn1/2P1P1PP/7R/RN2KN2 b Q - 1 19|1405|1343
r1bBq3/p4p2/n2kp2n/1B1p2r1/PP1b1P2/2P1P1PP/2R5/RN2KN2 b Q - 4 22|387|312
r1bBBr2/p4p2/n2kp2n/3p4/PP3P2/R1b1P1PP/2RN4/1N2K3 b - - 3 25|-555|-549
r1bB1r2/2nB1p2/p2kp3/3p1n2/PP2PP2/R5PP/2RN4/bN2K3 w - - 4 29|876|880
r1bB1r2/2nB1p2/p2kpb2/R2p1n2/PP2PPP1/R6P/3N4/1N2K3 w - - 1 32|1102|1112
r1RBnr2/3knp2/p3pb2/3p4/PP2PPP1/6RP/3N4/1N2K3 w - - 0 35|152|141
r1RB1rn1/3kbpn1/p3p3/3p2P1/PP2PP1P/1N4R1/4K3/1N6 b - - 2 38|-618|-610
3B1rn1/1N1kbpn1/p3p3/3p2P1/PP2PP1P/8/2r1K3/1N4R1 w - - 6 42|-672|-645
3B1rn1/1N1kb1n1/p3p1P1/5p2/PP2pP1P/4K3/1r6/1N4R1 w - - 0 45|-715|-680
4k1n1/1N4n1/p3prP1/5pb1/PP2pP1P/4K3/1r1N4/7R w - - 0 48|-568|-500
3Nk1n1/6n1/4pbP1/p4p2/Pr3P1P/4K3/8/3R4 b - - 1 51|1971|1950
5kn1/1N4R1/4pbP1/p4p2/6rP/4K3/8/8 w - - 1 55|-1025|-1004
5kn1/8/3NpbP1/p4p2/8/2Rr4/4K3/8 b - - 5 58|1144|1118
bbqnrk1n/pppppprp/8/6p1/8/6N1/PPPPPPPP/BBQNRK1R w Qq - 2 3|348|352
bbqnrk1n/2ppp1rp/5p2/pp4pN/3P1P2/8/PPPQP1PP/BB1NRK1R b Qq - 0 6|46|53
1bqnrkrn/1b1pp2p/2p5/pp3ppN/3PPP2/2P5/PP2Q1PP/BB1NRK1R w Qq - 0 10|130|129
b1qnrkrn/b2pp2p/2p5/pp3p1N/2QPPpP1/2P1N3/PP5P/BB2RKR1 b Qq - 3 13|472|481
b2nrkrn/b1q1p2p/8/pppp1P1N/2QP1pP1/2PBN3/PP3K1P/B3R1R1 w q - 0 17|-364|-377
b2nrkrn/2q1p2p/1b6/ppp2P1N/1PpP2P1/2PBp3/PB2K2P/2R3R1 b q - 3 20|3147|3081
3brkrn/q3p2p/4n3/pppP1P1N/1Pp1b1P1/2PBp3/PB5P/2R2K1R w q - 3 24|-1824|-1724
3brk1n/q3p2p/4n3/pp1b1PrN/1pp3P1/2P1p3/PB5P/1B1R1KR1 w q - 2 27|-2310|-2197
3brk2/q3p1rp/4n1n1/pp3P1N/Ppp3P1/2P1p3/1B4bP/3R1KRB w q - 1 30|-1605|-1477
4rk2/1qb1p1Np/4nPn1/pp6/P1p3P1/1pP1p3/1B1R2RP/5K1B b q - 0 33|1937|1900
qb2rk2/4p1Np/4nP2/pp6/P1p3Pn/1pP1K3/1B1R2RP/7B w q - 1 36|-985|-940
q2Rrk2/2b1p1np/5P2/1P6/p1p3Pn/1pP5/5KRP/B6B b q - 1 39|2089|2046
qb2rk2/4p2p/4nP2/1P4R1/p1p3Pn/2P3R1/1p3K1P/B6B b q - 1 42|2450|2409
rnb1kb1r/pppq1ppp/4p3/7n/2pP4/4PNP1/PP2QP1P/RNB1KB1R w KQkq - 3 3|316|329
rnb1kb1r/ppp1q1pp/4p3/5p1n/2pP4/4PNPP/PP1KQP2/RNB2B1R b kq - 0 6|178|167
rnbk1b1r/ppp1q1pp/8/4pp2/2pPP2P/3n2P1/PP1KQP2/RNB2BNR w - - 1 10|-384|-372
r1b1kb1r/pp2q1pp/2n5/2p1pp2/2pPP2P/2KQ2P1/PP1N1P1R/R1B2BN1 b - - 4 13|684|723
r1b1kb1r/pp4pp/4q3/2p1p3/2Nn3P/2Kp1PP1/PP6/R1B2BNR w - - 0 17|-2338|-2295
r1b1kbr1/p4qpp/1N5B/2p1p3/3n2PP/3p1P2/PP1K4/R4BNR b - - 2 20|2635|2608
N1b1k2r/p5pp/3b3B/2p1p3/3n2PP/1q1p1P2/PP1K4/4RBNR w - - 1 23|-2010|-2003
N1b1k2r/p4q1p/3b3B/2p1p1p1/3n2PP/3p1P1N/PP1K3R/4RB2 b - - 3 26|1545|1531
N1b1k2r/p6p/3b2qB/2p1p1p1/3n2PP/1P1pKP1N/P6R/R4B2 b - - 4 29|1511|1499
N1b1k2r/p6p/3bq2B/2p1p1p1/4K1PP/1Pnp1P1N/P1R5/R4B2 w - - 9 32|-1255|-1245
Nb2k2r/p5Bp/b7/2p1pqNP/6P1/1PnpKP2/P1R5/R4B2 b - - 0 35|675|665
N3k2r/p1b3Bp/b3N1q1/3np2P/2p3P1/1P1p1P2/P1R1BK2/R7 w - - 4 39|-192|-169
N2k1N1r/p1bb3p/6q1/3nB2P/2p3P1/1P1p1P2/P1R1BK2/1R6 w - - 3 42|-556|-535
Nb1k1N1r/p6p/6q1/3nBb1P/2p3P1/1P1B1PK1/P1R5/1R6 b - - 2 45|575|573
rn1qkbnr/pppbpppp/3p4/8/8/2P4N/PP1PPPPP/RNBQKB1R w KQkq - 1 3|6|8
r1bqkbnr/ppp1pppp/3p4/4n3/PPP5/7N/3PPPPP/RNBQKB1R b KQkq - 0 6|78|75
r1bq1b1r/1ppkp1pp/3p1n2/pP2np2/P1PP1P2/7N/4P1PP/RNBQKB1R w KQ a6 0 10|641|655
r1bq1b1r/1ppkp2p/1P1p1n2/p4p2/P1nP1P2/B6N/4P1PP/RN2KB1R b KQ - 1 13|2588|2530
r1bq1b1r/1ppk3p/1P2p3/p2p1pN1/P1nPPPn1/B6P/6P1/RN2KB1R b KQ - 0 16|2302|2240
r1b2q1r/1ppk3p/1P6/p1bpPpN1/P1n1PP2/2N4P/6Pn/R1B1KB1R w KQ - 3 20|-1076|-1004
r1b4r/1ppk3p/1n3q2/p2PPpN1/P4P1P/8/3K1bPn/RNB2B1R b - - 0 23|1587|1519
r1b4r/1ppk3p/1n6/p2qPpNP/P2b1PnR/8/6P1/RNBK1B2 w - - 0 27|-1651|-1577
r1b4r/1ppk3p/1n2N3/p3qp1P/P4PR1/4B3/1b2K1P1/RN3B2 b - - 1 30|2049|2015
r1b4r/1ppk3p/4N3/p4p1P/n4PR1/b3K3/3N2P1/R4B2 w - - 1 33|-46|-39
